wave  intrel
3600 0.0160462
3650 0.0127613
3700 0.0069219
3750 0.00852782
3800 0.00478667
3850 0.00415443
3900 0.00548731
3950 0.00647389
4000 0.0087075
4050 0.0185239
4100 0.0736206
4150 0.237697
4200 0.453244
4250 0.604486
4300 0.690994
4350 0.770872
4400 0.858047
4450 0.92968
4500 0.97325
4550 0.991365
4600 0.997935
4650 1.0
4700 0.989938
4750 0.956401
4800 0.899194
4850 0.81736
4900 0.725289
4950 0.635331
5000 0.539119
5050 0.437287
5100 0.336107
5150 0.244364
5200 0.168841
5250 0.112427
5300 0.0764869
5350 0.0565297
5400 0.0415314
5450 0.029375
5500 0.0198835
5550 0.0138852
5600 0.0113995
5650 0.0099413
5700 0.00811533
5750 0.00731995
5800 0.00597534
5850 0.00498601
5900 0.00410783
5950 0.00302259
6000 0.00227345
6050 0.00175471
6100 0.00124302
6150 0.00100009
6200 0.000759176
6250 0.000765756
6300 0.000773029
6350 0.000524052
6400 0.000536908
6450 0.000552066
6500 0.000561458
6550 0.000558139
6600 0.000549442
6650 0.000543519
6700 0.000538957
6750 0.000266313
6800 0.000522988
6850 0.0002557
6900 0.000253969
6950 0.000260313
7000 0.00054206
7050 0.000281028
7100 0.000582296
7150 0.000303789
7200 0.000318751
7250 0.000335001
7300 0.000352136
7350 0.000370125
7400 0.000390074
