wave  intrel
3600 0.0168627
3650 0.0089404
3700 0.0109112
3750 0.0059745
3800 0.00754535
3850 0.00654874
3900 0.0076887
3950 0.00850415
4000 0.0106757
4050 0.0166856
4100 0.0481957
4150 0.169583
4200 0.395366
4250 0.618127
4300 0.721765
4350 0.783257
4400 0.85174
4450 0.914596
4500 0.961553
4550 0.978141
4600 0.991821
4650 1.0
4700 0.996421
4750 0.981866
4800 0.947282
4850 0.88636
4900 0.813626
4950 0.739455
5000 0.656605
5050 0.564888
5100 0.471923
5150 0.374408
5200 0.285097
5250 0.210581
5300 0.15801
5350 0.12123
5400 0.0939234
5450 0.0705094
5500 0.0506445
5550 0.0364794
5600 0.0282099
5650 0.022148
5700 0.017483
5750 0.0150002
5800 0.0138808
5850 0.0113527
5900 0.00917332
5950 0.0074116
6000 0.00530919
6050 0.00395142
6100 0.00287379
6150 0.0023647
6200 0.00159561
6250 0.00160944
6300 0.00135394
6350 0.0013768
6400 0.00141057
6450 0.00116031
6500 0.00118006
6550 0.00117308
6600 0.0014435
6650 0.00114235
6700 0.000849572
6750 0.000839593
6800 0.0005496
6850 0.000268711
6900 0.000533784
6950 0.000273559
7000 0.000569643
7050 0.000590657
7100 0.000611926
7150 0.000638494
7200 0.000334971
7250 0.000704095
7300 0.000370055
7350 0.0
7400 0.000819845
