 num  wave  intrel
 1  3600.  0.
 2  3650.  0.00600000005
 3  3700.  0.023
 4  3750.  0.0450000018
 5  3800.  0.105999999
 6  3850.  0.254000008
 7  3900.  0.492000014
 8  3950.  0.751999974
 9  4000.  0.880999982
 10  4050.  0.922999978
 11  4100.  0.954999983
 12  4150.  0.976999998
 13  4200.  0.99000001
 14  4250.  1.
 15  4300.  1.
 16  4350.  0.996999979
 17  4400.  0.984000027
 18  4450.  0.958000004
 19  4500.  0.916000009
 20  4550.  0.870999992
 21  4600.  0.819999993
 22  4650.  0.774999976
 23  4700.  0.72299999
 24  4750.  0.671999991
 25  4800.  0.616999984
 26  4850.  0.569000006
 27  4900.  0.510999978
 28  4950.  0.456999987
 29  5000.  0.40200001
 30  5050.  0.347000003
 31  5100.  0.298999995
 32  5150.  0.244000003
 33  5200.  0.199000001
 34  5250.  0.153999999
 35  5300.  0.112999998
 36  5350.  0.0839999989
 37  5400.  0.050999999
 38  5450.  0.0289999992
 39  5500.  0.00999999978
 40  5550.  0.
