wave  intrel
4010.93 0.00000
4098.36 0.00000
4174.86 0.0151976
4251.37 0.0364742
4295.08 0.0607903
4349.73 0.0942249
4393.44 0.118541
4448.09 0.145897
4459.02 0.179331
4502.73 0.215805
4535.52 0.255319
4568.31 0.300912
4601.09 0.340426
4633.88 0.386018
4688.52 0.449848
4743.17 0.519757
4765.03 0.586626
4830.60 0.653495
4841.53 0.705167
4885.25 0.759878
4928.96 0.814590
4994.54 0.851064
5114.75 0.890577
5278.69 0.936170
5464.48 0.957447
5584.70 0.984802
5715.85 0.990881
5846.99 0.996960
6010.93 1.00608
6196.72 1.00304
6393.44 1.00304
6546.45 1.00304
6644.81 0.987842
6874.32 0.972644
7071.04 0.954407
7289.62 0.942249
7475.41 0.908815
7672.13 0.884498
7814.21 0.857143
7989.07 0.838906
8153.01 0.799392
8284.15 0.738602
8426.23 0.680851
8579.24 0.626140
8732.24 0.577508
8918.03 0.537994
9027.32 0.501520
9191.26 0.468085
9311.48 0.440729
9344.26 0.389058
9453.55 0.291793
9508.20 0.227964
9606.56 0.139818
9693.99 0.0790274
9748.63 0.0395137
9836.07 0.0151976
