wave  intrel
3600 0.00460899
3650 0.00733088
3700 0.00596457
3750 0.00489893
3800 0.00206233
3850 0.00357985
3900 0.00315226
3950 0.00278927
4000 0.00500215
4050 0.00342042
4100 0.00519988
4150 0.0112746
4200 0.0204214
4250 0.0257322
4300 0.0309593
4350 0.0393486
4400 0.0478018
4450 0.054647
4500 0.0638397
4550 0.0772874
4600 0.105806
4650 0.151024
4700 0.210365
4750 0.269582
4800 0.310315
4850 0.335665
4900 0.3716
4950 0.439699
5000 0.536472
5050 0.642154
5100 0.745687
5150 0.841091
5200 0.914177
5250 0.958519
5300 0.983558
5350 1.0
5400 0.992028
5450 0.950076
5500 0.887751
5550 0.823481
5600 0.769355
5650 0.710325
5700 0.603841
5750 0.521636
5800 0.456087
5850 0.362571
5900 0.273885
5950 0.20207
6000 0.140397
6050 0.0924497
6100 0.0595533
6150 0.0407187
6200 0.0283478
6250 0.0211152
6300 0.016875
6350 0.0135472
6400 0.010641
6450 0.00784926
6500 0.00507997
6550 0.00336662
6600 0.00260399
6650 0.00234174
6700 0.00139325
6750 0.00137689
6800 0.000675985
6850 0.000881341
6900 0.000437688
6950 0.000448621
7000 0.000467091
7050 0.000484322
7100 0.000250881
7150 0.000523547
7200 0.000274667
7250 0.000577338
7300 0.000303435
7350 0.00063787
7400 0.000336125
