wave  intrel
3600 0.0
3650 0.00393275
3700 0.0
3750 0.0
3800 0.00221272
3850 0.00192046
3900 0.00169107
3950 0.00149634
4000 0.00134173
4050 0.00244657
4100 0.00446327
4150 0.00907263
4200 0.0200847
4250 0.0309553
4300 0.039397
4350 0.0493737
4400 0.0599468
4450 0.0698597
4500 0.0796184
4550 0.0939069
4600 0.124875
4650 0.181501
4700 0.256964
4750 0.341357
4800 0.412179
4850 0.458152
4900 0.503659
4950 0.572755
5000 0.656543
5050 0.741471
5100 0.82521
5150 0.903061
5200 0.958099
5250 0.985315
5300 0.994543
5350 1.0
5400 0.986964
5450 0.9527
5500 0.909805
5550 0.865241
5600 0.827841
5650 0.786758
5700 0.688768
5750 0.611787
5800 0.556803
5850 0.464816
5900 0.373613
5950 0.29482
6000 0.2221
6050 0.157131
6100 0.106647
6150 0.0732759
6200 0.0524075
6250 0.0387023
6300 0.0297789
6350 0.023014
6400 0.0183665
6450 0.0148017
6500 0.0106413
6550 0.00825631
6600 0.00584177
6650 0.00502503
6700 0.00448457
6750 0.00270838
6800 0.00169232
6850 0.000472807
6900 0.000234804
6950 0.000240669
7000 0.0
7050 0.0
7100 0.0
7150 0.0
7200 0.0
7250 0.000309721
7300 0.0
7350 0.0
7400 -0.000360637
