wave  intrel
3600.  0.0127308
3650.  0.0101246
3700.  0.0082376
3750.  0.00338292
3800.  0.00569651
3850.  0.00494409
3900.  0.00435355
3950.  0.00192611
4000.  0.0051813
4050.  0.0047239
4100.  0.0114904
4150.  0.0363329
4200.  0.0599328
4250.  0.0646154
4300.  0.0596616
4350.  0.0525017
4400.  0.0480134
4450.  0.0393419
4500.  0.0339108
4550.  0.0303963
4600.  0.0298898
4650.  0.0313178
4700.  0.0337277
4750.  0.0357782
4800.  0.0369915
4850.  0.0360453
4900.  0.0362829
4950.  0.0385856
5000.  0.0394622
5050.  0.0436166
5100.  0.0502066
5150.  0.0627242
5200.  0.0802134
5250.  0.0956252
5300.  0.0968604
5350.  0.0809643
5400.  0.0597061
5450.  0.0421092
5500.  0.0328875
5550.  0.0313965
5600.  0.0367603
5650.  0.0586814
5700.  0.122172
5750.  0.351066
5800.  0.66358
5850.  0.894676
5900.  0.98445
5950.  1.0
6000.  0.974312
6050.  0.910473
6100.  0.83343
6150.  0.764692
6200.  0.697786
6250.  0.627892
6300.  0.564245
6350.  0.500801
6400.  0.438008
6450.  0.369563
6500.  0.292662
6550.  0.207239
6600.  0.132411
6650.  0.0847348
6700.  0.0516328
6750.  0.0294748
6800.  0.0158711
6850.  0.00821616
6900.  0.00453364
6950.  0.00309793
7000.  0.00193528
7050.  0.00167223
7100.  0.00103947
7150.  0.0010846
7200.  0.000758677
7250.  0.00119603
7300.  0.00083814
7350.  0.000880954
7400.  0.000928436
