wave  intrel
3600 0.00643096
3650 0.0102288
3700 0.00416121
3750 0.00683551
3800 0.00575516
3850 0.004995
3900 0.00439838
3950 0.00389188
4000 0.00523466
4050 0.00477255
4100 0.00725544
4150 0.0209754
4200 0.0427411
4250 0.0587527
4300 0.0572622
4350 0.0521117
4400 0.0459092
4450 0.0405582
4500 0.036544
4550 0.0342802
4600 0.0322107
4650 0.0348043
4700 0.0382597
4750 0.0434888
4800 0.0453807
4850 0.0455205
4900 0.0463029
4950 0.0487286
5000 0.0528594
5050 0.0565942
5100 0.0653957
5150 0.0818873
5200 0.104135
5250 0.123247
5300 0.124975
5350 0.107088
5400 0.0798952
5450 0.058998
5500 0.0482184
5550 0.0459103
5600 0.0534975
5650 0.0798444
5700 0.148311
5750 0.376683
5800 0.68705
5850 0.905887
5900 0.985943
5950 1.0
6000 0.976751
6050 0.91382
6100 0.838724
6150 0.771363
6200 0.704059
6250 0.633437
6300 0.565098
6350 0.502808
6400 0.445746
6450 0.389963
6500 0.332467
6550 0.269769
6600 0.211726
6650 0.162719
6700 0.110809
6750 0.0608374
6800 0.0279818
6850 0.0113751
6900 0.00549639
6950 0.00312983
7000 0.00195521
7050 0.00135156
7100 0.000700113
7150 0.00073051
7200 0.000383245
7250 0.000805565
7300 0.000423385
7350 0.000890025
7400 0.000937996
