 num  wave  intrel
 1  5200.  0.
 2  5400.  0.0522000007
 3  5600.  0.243599996
 4  5800.  0.435000002
 5  6000.  0.614099979
 6  6200.  0.718900025
 7  6400.  0.806725979
 8  6600.  0.867806971
 9  6800.  0.910807014
 10  7000.  0.930000007
 11  7200.  0.821717024
 12  7400.  0.799000025
 13  7600.  0.405490011
 14  7800.  0.541499972
 15  8000.  0.398999989
 16  8200.  0.270143002
 17  8400.  0.161500007
 18  8600.  0.104500003
 19  8800.  0.057
 20  9000.  0.0337615982
 21  9200.  0.0178999994
 22  9400.  0.00653589005
 23  9600.  0.
