wave  intrel
3500 0.00000001
3550 0.00000001327
3600 0.00000001704
3650 0.00000002328
3700 0.03552
3750 0.09114
3800 0.1900
3850 0.314
3900 0.4357
3950 0.5114
4000 0.5705
4050 0.6161
4100 0.6440
4150 0.6729
4200 0.7038
4250 0.7233
4300 0.7495
4350 0.7653
4400 0.7921
4450 0.8105
4500 0.8251
4550 0.8441
4600 0.8607
4650 0.8755
4700 0.8942
4750 0.9025
4800 0.9156
4850 0.9261
4900 0.9397
4950 0.9560
5000 0.9614
5050 0.9702
5100 0.9852
5150 0.9865
5200 0.9924
5250 0.9847
5300 1.0
5350 0.9959
5400 0.9956
5450 0.9847
5500 0.9798
5550 0.9515
5600 0.9427
5650 0.9185
5700 0.8802
5750 0.8336
5800 0.7623
5850 0.7370
5900 0.6951
5950 0.6520
6000 0.6022
6050 0.5504
6100 0.5104
6150 0.4614
6200 0.4186
6250 0.3739
6300 0.3348
6350 0.2946
6400 0.2625
6450 0.2308
6500 0.2103
6550 0.1885
6600 0.1712
6650 0.1600
6700 0.1520
6750 0.1454
6800 0.1392
6850 0.1345
6900 0.1309
6950 0.1277
7000 0.1268
7050 0.1242
7100 0.1221
7150 0.1205
7200 0.1192
7250 0.1171
7300 0.1162
7350 0.1144
7400 0.1129
7450 0.1116
7500 0.1105
7550 0.1085
7600 0.1078
7650 0.1062
7700 0.1038
7750 0.1025
7800 0.1005
7850 0.09866
7900 0.09605
7950 0.09522
8000 0.09276
8050 0.09017
8100 0.08921
8150 0.08662
8200 0.08403
8250 0.08215
8300 0.07943
8350 0.07740
8400 0.07588
8450 0.07363
8500 0.07061
8550 0.06827
8600 0.06532
8650 0.06638
8700 0.06262
8750 0.05679
8800 0.05416
8850 0.05131
8900 0.04876
8950 0.04634
9000 0.04415
9050 0.04243
9100 0.04086
9150 0.03938
9200 0.03801
9250 0.03610
9300 0.03433
9350 0.03233
9400 0.03077
9450 0.02902
9500 0.03168
9550 0.04315
9600 0.04713
9650 0.02853
9700 0.01727
9750 0.01904
9800 0.01745
9850 0.01643
9900 0.01606
9950 0.01553
10000 0.01382
