wave flux
3500.0 44.9117
3550.0 45.775
3600.0 46.6383
3650.0 49.3637
3700.0 52.0891
3750.0 51.0323
3800.0 49.9755
3850.0 52.3118
3900.0 54.6482
3950.0 68.7015
4000.0 82.7549
4050.0 87.1204
4100.0 91.486
4150.0 92.4589
4200.0 93.4318
4250.0 90.057
4300.0 86.6823
4350.0 95.7736
4400.0 104.865
4450.0 110.936
4500.0 117.008
4550.0 117.41
4600.0 117.812
4650.0 116.336
4700.0 114.861
4750.0 115.392
4800.0 115.923
4850.0 112.367
4900.0 108.811
4950.0 109.082
5000.0 109.354
5050.0 108.578
5100.0 107.802
5150.0 106.296
5200.0 104.79
5250.0 106.239
5300.0 107.689
5350.0 106.047
5400.0 104.405
5450.0 104.225
5500.0 104.046
5550.0 102.023
5600.0 100.0
5650.0 98.1671
5700.0 96.3342
5750.0 96.0611
5800.0 95.788
5850.0 92.2368
5900.0 88.6856
5950.0 89.3459
6000.0 90.0062
6050.0 89.8026
6100.0 89.5991
6150.0 88.6489
6200.0 87.6987
6250.0 85.4936
6300.0 83.2886
6350.0 83.4939
6400.0 83.6992
6450.0 81.863
6500.0 80.0268
6550.0 80.1207
6600.0 80.2146
6650.0 81.2462
6700.0 82.2778
6750.0 80.281
6800.0 78.2842
6850.0 74.0027
6900.0 69.7213
6950.0 70.6652
7000.0 71.6091
7050.0 72.979
7100.0 74.349
7150.0 67.9765
7200.0 61.604
7250.0 65.7448
7300.0 69.8856
7350.0 72.4863
7400.0 75.087
7450.0 69.3398
7500.0 63.5927
7550.0 55.0054
7600.0 46.4182
7650.0 56.6118
7700.0 66.8054
7750.0 65.0941
7800.0 63.3828
7850.0 63.8434
7900.0 64.304
7950.0 61.8779
8000.0 59.4519
8050.0 55.7054
8100.0 51.959
8150.0 54.6998
8200.0 57.4406
8250.0 58.8765
8300.0 60.3125
8350.0 1.0032
8400.0 1.0157
8450.0 1.0165
8500.0 0.89372
8550.0 0.913
8600.0 0.98816
8650.0 0.96324
8700.0 0.96755
8750.0 0.92687
8800.0 0.93957
8850.0 0.94423
8900.0 0.92393
8950.0 0.75956
9000.0 0.69429
9050.0 0.0
9101.76923077 0.0
9153.53846154 0.0
9205.30769231 0.0
9257.07692308 0.0
9308.84615385 0.0
9360.61538462 0.0
9412.38461538 0.0
9464.15384615 0.0
9515.92307692 0.0
9567.69230769 0.0
9619.46153846 0.0
9671.23076923 0.0
9723.0 0.0
9774.76923077 0.0
9826.53846154 0.0
9878.30769231 0.0
9930.07692308 0.0
9981.84615385 0.0
10033.6153846 0.0
10085.3846154 0.0
10137.1538462 0.0
10188.9230769 0.0
10240.6923077 0.0
10292.4615385 0.0
10344.2307692 0.0
10396.0 0.0
