wave  intrel
4037.11 0.000305425
4185.26 0.000348292
4296.37 0.000380442
4370.44 0.000401875
4444.51 0.000423309
4574.11 0.00306497
4629.70 0.000476892
4777.85 0.000519759
4925.16 0.0578540
5045.83 0.669867
5211.85 0.714186
5378.40 0.722047
5507.23 0.776772
5673.86 0.779424
5821.85 0.789883
5969.47 0.826384
6116.55 0.899344
6264.24 0.930636
6430.94 0.928080
6523.34 0.941128
6671.03 0.972421
6800.32 0.995896
6948.39 1.00115
7096.54 1.00119
7245.37 0.954358
7411.69 0.977843
7486.15 0.951823
7745.71 0.931065
7782.98 0.915451
7987.40 0.866031
8173.12 0.829626
8303.78 0.759352
8452.77 0.702103
8601.68 0.650063
8769.68 0.558966
8847.48 0.303780
9129.64 0.00438312
9240.75 0.00441527
9370.42 0.00184863
9500.01 0.00449029
9685.19 0.00454387
9833.30 0.00719089
10092.5 0.00987006
