 num  wave  intrel
 1  4750.  0.
 2  4800.  0.0299999993
 3  4850.  0.0839999989
 4  4900.  0.163000003
 5  4950.  0.300999999
 6  5000.  0.458000004
 7  5050.  0.629999995
 8  5100.  0.779999971
 9  5150.  0.894999981
 10  5200.  0.967000008
 11  5250.  0.996999979
 12  5300.  1.
 13  5350.  0.987999976
 14  5400.  0.958000004
 15  5450.  0.91900003
 16  5500.  0.876999974
 17  5550.  0.819000006
 18  5600.  0.764999986
 19  5650.  0.711000025
 20  5700.  0.657000005
 21  5750.  0.601999998
 22  5800.  0.545000017
 23  5850.  0.488000005
 24  5900.  0.433999985
 25  5950.  0.386000007
 26  6000.  0.331
 27  6050.  0.289000005
 28  6100.  0.25
 29  6150.  0.214000002
 30  6200.  0.180999994
 31  6250.  0.150999993
 32  6300.  0.119999997
 33  6350.  0.0930000022
 34  6400.  0.0689999983
 35  6450.  0.050999999
 36  6500.  0.0359999985
 37  6550.  0.0270000007
 38  6600.  0.0209999997
 39  6650.  0.0179999992
 40  6700.  0.0160000008
 41  6750.  0.0140000004
 42  6800.  0.0120000001
 43  6850.  0.0109999999
 44  6900.  0.00999999978
 45  6950.  0.00899999961
 46  7000.  0.00800000038
 47  7050.  0.00700000022
 48  7100.  0.00600000005
 49  7150.  0.00499999989
 50  7200.  0.00400000019
 51  7250.  0.00300000003
 52  7300.  0.00200000009
 53  7350.  0.00100000005
 54  7400.  0.
