num name Uj_Vj Bj_Vj Bj_VjA Rj_Vj SQM_Vj SQM_VjA m_Bn m_Gn m_Rn i_sli i_msi i_ipi Bn_Vj Gn_Vj Rn_Vj m_VIIRS m_photo m_scoto m_photoA m_scotoA m_SQM m_SQMA m_Halpha m_Hbeta m_Vj m_VjA wave
0 CFL_A19Shape_domestic_use_softwhite_color_EnerSaver_Globe_brand_15W_120V_33_ nan 1.43454918609 2.12661736101 2.58466367136e+161 0.563016270074 0.633417321219 -16.3426711442 -17.4526244151 -18.1355022162 0.500152400851 0.376593410516 0.607581494755 1.32882501478 0.218871743875 -0.464006057212 -17.2445010317 -17.7961131576 -16.9062630665 -21.2551558926 -20.106767131 -17.1084798889 -20.4538055789 -15.8659685217 -16.0665858845 -17.6714961589 -21.0872229001 5580.19819817
1 CFL_BR38_domestic_use_softwhite_color_EnerSaver_Globe_brand_23W_120V_52_ nan 1.50481551215 2.21599488825 2.44163452691e-316 0.579812524587 0.643226903712 -16.2047229069 -17.4375845925 -18.1470199001 0.472636777443 0.351898168803 0.599348042859 1.46304554024 0.230183854605 -0.479251453005 -17.2568272608 -17.7961013711 -16.8449114768 -21.2586837904 -20.0593559491 -17.0879559225 -20.4434891195 -16.081971485 -15.8932122819 -17.6677684471 -21.0867160232 5607.92238556
2 CFL_Compact_Fluorescent_Lamp_3023K_LICA 3.30157269156 1.79148921177 2.4953553806 1.02089406153e+39 0.636806849383 0.721510124694 -15.3363781577 -16.8238643753 -17.6079374416 0.42364719897 0.337340026569 0.618021972442 1.73561717633 0.248130958723 -0.535942107577 -16.6381584858 -17.218458436 -16.1734007445 -20.6905271174 -19.4087928023 -16.4351884847 -19.778651311 -15.4880575527 -15.3002859728 -17.071995334 -20.5001614356 5695.43210351
3 CFL_Compact_Fluorescent_Lamp_5338K_LICA nan 0.875225329258 1.45288818425 1.67626279323e+243 0.450588137981 0.628850170197 -16.955769942 -17.4192460607 -17.4782972503 0.876905727074 0.777551122153 0.761083914883 0.52680321116 0.0633270924275 0.00427590283484 -16.7226638703 -17.5126851324 -17.1671695353 -20.9073104219 -20.2873759635 -17.0319850152 -20.2149411364 -15.3608102202 -16.7629783904 -17.4825731531 -20.8437913066 5335.3491259
4 CFL_Dayligth_Sky_10000Lux_lighttherapy_use_Daylight_color_Uplift_Technologies_brand_55W_4000K_ nan 0.962861864484 1.60169488689 1.76877501243e-294 0.418799055951 0.530097886308 -16.984799111 -17.5770567034 -18.0220822984 0.68997199552 0.600651308341 0.751369651914 0.724786635745 0.132529043353 -0.312496551636 -17.3459545288 -17.7961932075 -17.25519341 -21.2283881426 -20.3914956964 -17.2907866908 -20.5700568212 -17.0158747671 -16.8266243125 -17.7095857467 -21.1001547075 5499.92765088
5 CFL_G25_domestic_use_coolwhite_color_EnerSaver_Globe_brand_7W_120V_57_ nan 1.73552987839 2.40968416764 7.15864630418e+142 0.709037137498 0.767698589461 -16.108714759 -17.5663988151 -17.8572337298 0.497778484563 0.321645711852 0.487838130742 1.63033243739 0.172648381278 -0.118186533351 -17.0559864641 -17.7958488002 -16.90111215 -21.2240131968 -20.1431584143 -17.0300100589 -20.3626884895 nan -14.969128995 -17.7390471964 -21.130387079 5527.93883785
6 CFL_PAR20_domestic_use_coolwhite_color_Elume_brand_9W_33_ nan 0.892678098933 1.54623529807 4.2230023762e-62 0.431127840296 0.56476118926 -16.9952450216 -17.5701023558 -18.0277431826 0.685996667957 0.628064981375 0.712791687358 0.719778184455 0.144920850245 -0.312719976503 -17.1811847628 -17.7961400254 -17.2489669847 -21.2265824887 -20.3837712972 -17.2838953658 -20.5381930513 -15.8442378831 -16.8141342229 -17.7150232061 -21.1029542406 5393.35195075
7 CFL_PAR20_domestic_use_softwhite_color_ELume_brand_9W_120V_33_ nan 1.38883209988 2.12311330717 3.78618717435e-270 0.549563587465 0.623862003205 -16.2345223908 -17.4134595037 -18.1819997164 0.467899147338 0.379877022141 0.620514677256 1.42211306311 0.243175950185 -0.525364262516 -17.2685345756 -17.7961210946 -16.8340275899 -21.2636602201 -20.0425335721 -17.1070718664 -20.456335346 -16.0236509874 -15.9051591961 -17.6566354539 -21.0801973493 5587.53896905
8 CFL_PAR30LNFlood_domestic_use_coolwhite_color_ELume_brand_15W_46_ nan 0.99134899268 1.64830392653 6.03457687654e+151 0.46656113299 0.59231886025 -16.8934452064 -17.577194444 -17.9728115867 0.656998835271 0.574716151736 0.675801991578 0.820655440521 0.136906203004 -0.258710939757 -17.1550779561 -17.7961037756 -17.2021630175 -21.2243543139 -20.3516101141 -17.247539514 -20.5115605818 -15.8216395977 -16.5982251686 -17.714100647 -21.103879442 5410.39308226
9 CFL_PAR30_domestic_use_coolwhite_color_EnerSaver_Globe_brand_15W_120V_46_ nan 1.50516160655 2.21931139212 8.23241738309e+97 0.566952546899 0.629490707294 -16.2218994486 -17.3971237819 -18.2078653904 0.457548773304 0.345325556916 0.607492498481 1.42796043974 0.252736106446 -0.558005502052 -17.2678178325 -17.7961350383 -16.8097113269 -21.2672792839 -20.0205679047 -17.0829073414 -20.4471596003 -15.8582907319 -15.856075721 -17.6498598883 -21.0766503075 5623.08982568
