num name Uj_Vj Bj_Vj Bj_VjA Rj_Vj SQM_Vj SQM_VjA m_Bn m_Gn m_Rn i_sli i_msi i_ipi Bn_Vj Gn_Vj Rn_Vj m_VIIRS m_photo m_scoto m_photoA m_scotoA m_SQM m_SQMA m_Halpha m_Hbeta m_Vj m_VjA wave
0 Artificial+Natural+Stars+MoonSkyRadiance_Montsec nan nan 4.62082654673 5.47213887838e+208 1.45462304799 -0.132274470655 -2.5922884291 -2.89584282523 -1.9490933946 1.15416776754 -2.17777960635 0.863039865294 0.635328332594 0.331773936464 1.27852336709 -3.96561808878 -3.22085521126 -3.22802067708 -6.59120230561 -6.29205452804 -1.7729937137 -6.69033017353 -3.18117642793 -3.25052986519 -3.22761676169 -6.55805570287 5259.84503016
1 Artificial+Natural+Stars+MoonSkyRadiance_Montsec nan nan 4.62082654673 6.93371016004e-310 1.45462304799 -0.132274470655 -2.5922884291 -2.89584282523 -1.9490933946 1.15416776754 -2.17777960635 0.863039865294 0.635328332594 0.331773936464 1.27852336709 -3.96561808878 -3.22085521126 -3.22802067708 -6.59120230561 -6.29205452804 -1.7729937137 -6.69033017353 -3.18117642793 -3.25052986519 -3.22761676169 -6.55805570287 5259.84503016
2 Artificial+Natural+Stars+MoonSkyRadiance_UCM -9.26905560025 -3.11609684934 -2.12493714639 5.36199630513e+208 nan nan -6.6255246706 -6.2239520479 -7.11756131612 0.818039999002 41.644827529 3.04165392018 -2.4268007786 -2.0252281559 -2.91883742412 nan -4.32814809877 -3.95194021901 -7.74382726157 -7.01071147919 nan nan -3.6922843898 -3.70950200883 -4.198723892 -7.58880633433 5365.52594349
3 Artificial+Natural+Stars+MoonSkyRadiance_UCM -9.26905560025 -3.11609684934 -2.12493714639 6.9337101629e-310 nan nan -6.6255246706 -6.2239520479 -7.11756131612 0.818039999002 41.644827529 3.04165392018 -2.4268007786 -2.0252281559 -2.91883742412 nan -4.32814809877 -3.95194021901 -7.74382726157 -7.01071147919 nan nan -3.6922843898 -3.70950200883 -4.198723892 -7.58880633433 5365.52594349
6 Artificial+Natural+StarsSkyRadiance_UCM -9.44129993912 -3.27790061795 -2.24595062 5.78885731813e+205 nan nan -6.27993197955 -5.87740408377 -6.80276058739 0.619595613606 46.0436842448 3.16163700743 -2.56878552944 -2.16625763365 -3.09161413727 nan -3.90641325404 -3.22264309016 -7.35088216162 -6.30013057704 nan nan -2.86546553002 -2.70283322283 -3.71114645012 -7.13672270874 5459.88881302
7 Artificial+Natural+StarsSkyRadiance_UCM -9.44129993912 -3.27790061795 -2.24595062 6.93370965197e-310 nan nan -6.27993197955 -5.87740408377 -6.80276058739 0.619595613606 46.0436842448 3.16163700743 -2.56878552944 -2.16625763365 -3.09161413727 nan -3.90641325404 -3.22264309016 -7.35088216162 -6.30013057704 nan nan -2.86546553002 -2.70283322283 -3.71114645012 -7.13672270874 5459.88881302
8 Artificial+NaturalSkyRadiance_Montsec -8.71435978553 -2.56227226258 -1.52143546025 5.93187409278e+205 nan nan -1.46409405104 -1.1646521012 -2.03431520752 0.483482983172 33.4567964685 2.56610175139 -1.85540887466 -1.55596692482 -2.42563003115 nan 0.204195101428 1.153891245 -3.24722212918 -2.01335744385 nan nan 0.669220503922 2.09712701587 0.391314823622 -3.04266184762 5670.56575384
9 Artificial+NaturalSkyRadiance_Montsec -8.71435978553 -2.56227226258 -1.52143546025 6.93370965381e-310 nan nan -1.46409405104 -1.1646521012 -2.03431520752 0.483482983172 33.4567964685 2.56610175139 -1.85540887466 -1.55596692482 -2.42563003115 nan 0.204195101428 1.153891245 -3.24722212918 -2.01335744385 nan nan 0.669220503922 2.09712701587 0.391314823622 -3.04266184762 5670.56575384
10 Artificial+NaturalSkyRadiance_UCM -9.84253698908 -3.68345149353 -2.64148316577 6.45112510569e+205 nan nan -6.61143535993 -6.18580970147 -7.12135133459 0.627014546295 65.9089731438 4.24786600993 -2.95698957593 -2.53136391747 -3.46690555059 nan -3.8683902752 -3.19050172138 -7.30900794691 -6.24559663406 nan nan -2.67938086803 -2.56813412325 -3.654445784 -7.08405355557 5459.98550734
11 Artificial+NaturalSkyRadiance_UCM -9.84253698908 -3.68345149353 -2.64148316577 6.93370965404e-310 nan nan -6.61143535993 -6.18580970147 -7.12135133459 0.627014546295 65.9089731438 4.24786600993 -2.95698957593 -2.53136391747 -3.46690555059 nan -3.8683902752 -3.19050172138 -7.30900794691 -6.24559663406 nan nan -2.67938086803 -2.56813412325 -3.654445784 -7.08405355557 5459.98550734
12 ArtificialSkyRadiance_Montsec -9.35445932236 -3.20237174023 -2.14070544697 2.82013242234e-311 nan nan -1.46303404094 -1.05374722524 -2.01356694265 0.539350744667 41.3868327057 2.93844034326 -2.49444840139 -2.08516158569 -3.0449813031 nan 0.770915250458 1.53492407022 -2.70100849609 -1.52423816734 nan nan 2.15112108434 2.09547491521 1.03141436045 -2.42339171552 5480.41881944
13 ArtificialSkyRadiance_Montsec -9.35445932236 -3.20237174023 -2.14070544697 6.93371047012e-310 nan nan -1.46303404094 -1.05374722524 -2.01356694265 0.539350744667 41.3868327057 2.93844034326 -2.49444840139 -2.08516158569 -3.0449813031 nan 0.770915250458 1.53492407022 -2.70100849609 -1.52423816734 nan nan 2.15112108434 2.09547491521 1.03141436045 -2.42339171552 5480.41881944
14 ArtificialSkyRadiance_UCM -9.85425789366 -3.6951723976 -2.65295292807 0.0 nan nan -6.61142608303 -6.18477533613 -7.12116179424 0.62823347932 66.1207144107 4.2583064996 -2.9687012036 -2.54205045671 -3.47843691481 nan -3.85793827772 -3.18460808214 -7.29877779097 -6.23758112997 nan nan -2.64177014835 -2.56815238764 -3.64272487942 -7.07258379202 5455.46194884
15 ArtificialSkyRadiance_UCM -9.85425789366 -3.6951723976 -2.65295292807 0.0 nan nan -6.61142608303 -6.18477533613 -7.12116179424 0.62823347932 66.1207144107 4.2583064996 -2.9687012036 -2.54205045671 -3.47843691481 nan -3.85793827772 -3.18460808214 -7.29877779097 -6.23758112997 nan nan -2.64177014835 -2.56815238764 -3.64272487942 -7.07258379202 5455.46194884
